player,role,runs,bat_strike_rate,overs_ob,balls,wickets,bowl_strike_rate
Player A,batter,164.0,176.34,,,,
Player AA,allrounder,47.0,146.87,7.0,42.0,1.0,42.0
Player AB,batter,153.0,127.5,,,,
Player AC,allrounder,37.0,148.0,41.0,246.0,11.0,22.36
Player AD,batter,31.0,75.6,,,,
Player AE,batter,247.0,150.6,,,,
Player AF,batter,156.0,131.09,,,,
Player AG,batter,225.0,180.0,,,,
Player AH,batter,333.0,156.33,,,,
Player AI,allrounder,1.0,33.33,52.0,312.0,14.0,22.28
Player AJ,batter,1.0,33.33,,,,
Player AK,allrounder,10.0,71.42,15.0,90.0,4.0,22.5
Player AL,bowler,,,26.4,160.0,13.0,12.3
Player AM,batter,202.0,123.92,,,,
Player AN,batter,2.0,100.0,,,,
Player AO,allrounder,17.0,154.54,12.0,72.0,2.0,36.0
Player AP,allrounder,48.0,97.95,13.0,78.0,4.0,19.5
Player AQ,allrounder,224.0,163.5,35.0,210.0,14.0,15.0
Player AR,allrounder,11.0,84.61,22.0,132.0,10.0,13.2
Player AS,bowler,,,10.0,60.0,5.0,12.0
Player AT,allrounder,21.0,80.76,43.5,263.0,16.0,16.43
Player AU,allrounder,57.0,107.54,44.0,264.0,15.0,17.6
Player AV,batter,487.0,172.69,,,,
Player AW,batter,354.0,152.58,,,,
Player AX,bowler,,,18.2,110.0,4.0,27.5
Player AY,batter,67.0,171.79,,,,
Player AZ,batter,55.0,105.76,,,,
Player B,batter,61.0,100.0,,,,
Player BA,batter,15.0,214.28,,,,
Player BB,bowler,,,47.2,284.0,18.0,15.77
Player BC,bowler,,,23.5,143.0,11.0,13.0
Player BD,batter,261.0,176.35,,,,
Player BE,allrounder,63.0,126.0,45.3,273.0,11.0,24.81
Player BF,batter,85.0,184.78,,,,
Player BG,batter,538.0,163.03,,,,
Player BH,bowler,,,44.0,264.0,22.0,12.0
Player BI,batter,278.0,162.57,,,,
Player BJ,batter,539.0,149.72,,,,
Player BK,allrounder,9.0,112.5,14.0,84.0,2.0,42.0
Player BL,allrounder,92.0,133.33,7.0,42.0,2.0,21.0
Player BM,allrounder,1.0,100.0,15.0,90.0,7.0,12.85
Player BN,batter,198.0,172.17,,,,
Player BO,allrounder,1.0,50.0,46.4,280.0,15.0,18.66
Player BP,allrounder,109.0,126.74,46.0,276.0,17.0,16.23
Player BQ,allrounder,18.0,112.5,51.0,306.0,15.0,20.4
Player BR,bowler,,,3.0,18.0,1.0,18.0
Player BS,allrounder,3.0,60.0,8.0,48.0,2.0,24.0
Player BT,batter,20.0,200.0,,,,
Player BU,allrounder,8.0,400.0,5.0,30.0,1.0,30.0
Player BV,bowler,,,15.0,90.0,5.0,18.0
Player BW,allrounder,112.0,133.33,9.0,54.0,2.0,27.0
Player BX,allrounder,4.0,400.0,11.2,68.0,5.0,13.6
Player BY,bowler,,,8.0,48.0,4.0,12.0
Player BZ,bowler,,,7.0,42.0,2.0,21.0
Player C,batter,439.0,193.39,,,,
Player CA,batter,196.0,135.17,,,,
Player CB,batter,3.0,75.0,,,,
